Local time,Open,High,Low,Close,Volume
04.09.2018 00:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 01:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 02:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 03:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 04:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 05:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 06:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 07:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 08:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 09:00:00.000 GMT-0400,186.588,186.588,186.588,186.588,0
04.09.2018 10:00:00.000 GMT-0400,185.507,186.378,185.427,186.228,29.3232
04.09.2018 11:00:00.000 GMT-0400,186.228,186.298,185.378,185.397,28.3792
04.09.2018 12:00:00.000 GMT-0400,185.398,185.597,184.947,185.487,29.2442
04.09.2018 13:00:00.000 GMT-0400,185.488,185.738,185.327,185.668,22.2772
04.09.2018 14:00:00.000 GMT-0400,185.667,185.998,185.537,185.947,18.1445
04.09.2018 15:00:00.000 GMT-0400,185.957,186.038,185.577,185.857,22.0159
04.09.2018 16:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 17:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 18:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 19:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 20:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 21:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 22:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
04.09.2018 23:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 00:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 01:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 02:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 03:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 04:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 05:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 06:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 07:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 08:00:00.000 GMT-0400,185.857,185.857,185.857,185.857,0
05.09.2018 09:00:00.000 GMT-0400,185.517,185.538,184.087,184.117,26.0132
05.09.2018 10:00:00.000 GMT-0400,184.098,184.358,182.817,183.548,52.6867
05.09.2018 11:00:00.000 GMT-0400,183.547,183.608,182.837,183.388,41.4982
05.09.2018 12:00:00.000 GMT-0400,183.387,184.248,183.377,183.698,30.1198
05.09.2018 13:00:00.000 GMT-0400,183.687,184.208,183.638,183.877,25.6528
05.09.2018 14:00:00.000 GMT-0400,183.878,183.978,183.437,183.548,30.3001
05.09.2018 15:00:00.000 GMT-0400,183.548,183.658,182.987,183.447,27.649
05.09.2018 16:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 17:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 18:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 19:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 20:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 21:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 22:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
05.09.2018 23:00:00.000 GMT-0400,183.447,183.447,183.447,183.447,0
